date,Sumscore,Open,Predict_Open
2020/12/27,25.2119,3194,3226.868994
2020/12/28,148.7329,3309.939941,3280.731982
2020/12/29,55.9023,3341,3311.847022
2020/12/30,33.0706,3275,3284.720972
2021/1/3,5.5419,3270,3272
2021/1/4,14.3399,3166.01001,3307.395996
2021/1/5,35.7393,3146.47998,3166.931982
2021/1/6,36.2188,3157,3396.526929
2021/1/7,-49.8097,3180,3197.261987
2021/1/10,11.585,3148.01001,3207.187012
2021/1/11,-29.0448,3120,3197.261987
2021/1/12,28.2291,3128.439941,3188.930029
2021/1/13,19.3675,3167.52002,3196.668018
2021/1/14,12.068,3123.02002,3264.606006
2021/1/18,19.4827,3107,3172.46001
2021/1/19,14.7968,3181.98999,3225.313989
2021/1/20,281.9014,3293,3401.087988
2021/1/21,89.0786,3304.310059,3274.178076
2021/1/24,159.9049,3328.5,3322.679981
2021/1/25,16.5289,3296.360107,3292.280078
2021/1/26,17.6442,3341.48999,3338.940991
2021/1/27,29.7281,3235.040039,3359.024023
2021/1/28,2.5603,3230,3351.946924
2021/1/31,-0.6607,3242.360107,3314.665063
2021/2/1,53.8152,3380,3269.260938
2021/2/2,768.1872,3425.01001,3428.702002
2021/2/3,111.2068,3330,3345.104004
2021/2/4,22.4182,3319,3276.712988
2021/2/7,16.3003,3358.5,3421.14602
2021/2/8,14.9182,3312.48999,3290.563989
2021/2/9,5.759,3314,3288.6
2021/2/10,12.3642,3292,3321.02002
2021/2/11,8.7381,3250,3319.840015
2021/2/15,6.2469,3254.050049,3261.208008
2021/2/16,23.6078,3263.600098,3278.920093
2021/2/17,32.7516,3282.419922,3307.837964
2021/2/18,46.6922,3328.22998,3330.577978
2021/2/21,11.2369,3208.129883,3210.801905
2021/2/22,15.8891,3127.030029,3155.183032
2021/2/23,4.7005,3166.75,3267.739038
2021/2/24,-5.2712,3136.73999,3301.902002
2021/2/25,29.1147,3095.199951,3134.037988
2021/2/28,6.4653,3127.889893,3255.749951
2021/3/1,9.4746,3143.469971,3143.469971
2021/3/2,11.0927,3081.179932,3262.073975
2021/3/3,23.4034,3012,3241.011011
2021/3/4,16.6101,3005,3175.736035
2021/3/7,10.3955,3015,3191
2021/3/8,17.9734,3017.98999,3115.03999
2021/3/9,13.9681,3098.449951,3213.807983
2021/3/10,11.062,3104.01001,3262.073975
2021/3/11,7.742,3075,3150.4
2021/3/14,5.7498,3074.570068,3288.6
2021/3/15,31.4057,3104.969971,3225.338965
2021/3/16,6.7231,3073.219971,3172.845996
2021/3/17,54.8614,3101,3186.406983
2021/3/18,60.1863,3029.22998,3093.623974
2021/3/21,8.4532,3067.850098,3341.06106
2021/3/22,9.5126,3127,3136.881983
2021/3/23,24.0853,3151.040039,3189.137036
2021/3/24,29.1541,3072.98999,3182.131982
2021/3/25,11.2854,3044.060059,3128.766993
2021/3/28,6.1939,3055.439941,3229.869019
2021/3/29,27.3081,3070.01001,3165.786011
2021/3/30,28.0044,3064.060059,3167.264038
2021/3/31,33.2988,3117.939941,3294.663013
2021/4/4,3.633,3173,3221.6
2021/4/5,15.5606,3223.75,3267.728003
2021/4/6,18.3891,3233.800049,3330.72605
2021/4/7,27.4565,3310.899902,3269.252954
2021/4/8,-54.0464,3304.699951,3197.261987
2021/4/11,11.5247,3355.209961,3269.346997
2021/4/12,42.9872,3400.850098,3353.669092
2021/4/13,19.0379,3404.040039,3396.78103
2021/4/14,8.7644,3371,3319.840015
2021/4/15,192.3682,3380,3379.512964
2021/4/18,4.5305,3390.330078,3357.171069
2021/4/19,46.4292,3373.600098,3333.492017
2021/4/20,24.2116,3316,3225.517016
